uuid,division,majorGroup,activity_name,knowledge_flows,tacit_knowledge_types,technologies
89017f78-e365-4ac9-a673-aacf7cce0e92,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Somatic Tacit Knowledge,Virtual Reality
89017f78-e365-4ac9-a673-aacf7cce0e92,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
cb4f0b2a-a2e2-41c2-8d1a-3e2dfcf57e90,I. Division I: Services,Major Group 80: Health Services,Mobile Learning,Internalization,Intellectual Tacit Knowledge,Virtual Reality
50da53f7-5c39-48ac-ba7a-db343317cf4f,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Somatic Tacit Knowledge,Virtual Reality
50da53f7-5c39-48ac-ba7a-db343317cf4f,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Somatic Tacit Knowledge,Augment Reality
50da53f7-5c39-48ac-ba7a-db343317cf4f,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
50da53f7-5c39-48ac-ba7a-db343317cf4f,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Augment Reality
3e80823f-a55c-4452-a289-7ef23203ff4b,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Somatic Tacit Knowledge,Virtual Reality
3e80823f-a55c-4452-a289-7ef23203ff4b,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
3e80823f-a55c-4452-a289-7ef23203ff4b,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Relational Tacit Knowledge,Virtual Reality
36a7754c-5681-4ef7-b7af-d3cbce3272cb,D. Division D: Manufacturing,Major Group 39: Miscellaneous Manufacturing Industries,Deliberate Practice,Socialization,Somatic Tacit Knowledge,Virtual Reality
36a7754c-5681-4ef7-b7af-d3cbce3272cb,D. Division D: Manufacturing,Major Group 39: Miscellaneous Manufacturing Industries,Deliberate Practice,Socialization,Intellectual Tacit Knowledge,Virtual Reality
36a7754c-5681-4ef7-b7af-d3cbce3272cb,D. Division D: Manufacturing,Major Group 39: Miscellaneous Manufacturing Industries,Deliberate Practice,Internalization,Somatic Tacit Knowledge,Virtual Reality
36a7754c-5681-4ef7-b7af-d3cbce3272cb,D. Division D: Manufacturing,Major Group 39: Miscellaneous Manufacturing Industries,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
041af85c-7f55-4d4c-b678-fe8ffa883cf4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Externalization,Intellectual Tacit Knowledge,Virtual Reality
041af85c-7f55-4d4c-b678-fe8ffa883cf4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Augmented Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Relational Tacit Knowledge,Virtual Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Relational Tacit Knowledge,Augmented Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Socialization,Intellectual Tacit Knowledge,Virtual Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Socialization,Intellectual Tacit Knowledge,Augmented Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Socialization,Relational Tacit Knowledge,Virtual Reality
2c719831-02ad-4b15-8f39-a7e71f4a9de4,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Socialization,Relational Tacit Knowledge,Augmented Reality
5856aa51-1d37-4903-8cf8-e66a7057e557,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,,,Virtual Reality
1d160f88-0174-49e9-8364-ca2999ad899d,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,AI
1d160f88-0174-49e9-8364-ca2999ad899d,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Internalization,Somatic Tacit Knowledge,AI
1d160f88-0174-49e9-8364-ca2999ad899d,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Externalization,Intellectual Tacit Knowledge,AI
1d160f88-0174-49e9-8364-ca2999ad899d,I. Division I: Services,Major Group 82: Educational Services,Deliberate Practice,Externalization,Somatic Tacit Knowledge,AI
068ed6c2-b85e-4eb9-94cc-b924133d0b59,I. Division I: Services,"Major Group 87: Engineering, Accounting, Research, Management, And Related Services",Deliberate Practice,Socialization,Intellectual Tacit Knowledge,Virtual Reality
068ed6c2-b85e-4eb9-94cc-b924133d0b59,I. Division I: Services,"Major Group 87: Engineering, Accounting, Research, Management, And Related Services",Deliberate Practice,Socialization,Intellectual Tacit Knowledge,Augment Reality
