Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,WoS Categories,Web of Science Index,Research Areas
Wisdomofage: Developing A Seniors Digital Platform For Knowledge Transfer Through Participatory Design,"Riessenberger, KA; Hüsler, SS; Bruggmann, A; Eicher, S; Stulens, L; Misoch, S","Wisdom Of Age is a platform for knowledge transfer connecting retirees with experience in technological fields with industrial companies. The goal is to establish a mentor-mentee relationship between both parties. Companies will benefit from vast practical experience of seniors and the seniors from an opportunity to actively participate in their former field of work with a workload as high as they choose. This possibility promotes an individualized approach to retirement, active aging, and awareness of the work experience of (soon to be) retirees. Since the project is developed in close cooperation with older people, it also fosters inclusiveness within the technological development process.",Active Aging; Aging Population; Aging Well; Individualization of Retirement Process; Adaptation of the Labor Market; Social Inclusion; Digital Divide,SCITEPRESS,SETUBAL,2022,C,English,http://dx.doi.org/10.5220/0011064200003188,38,0,0,0,7,"Computer Science, Interdisciplinary Applications; Geriatrics & Gerontology",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science; Geriatrics & Gerontology
Leverage: A European Network To Leverage The Multi-Age Workforce,"Marcus, J; Scheibe, S; Kooij, D; Truxillo, DM; Zaniboni, S; Abuladze, L; Al Mursi, N; Bamberger, PA; Balytska, M; Betanzos, ND; Perek-Bialas, J; Boehm, SA; Burmeister, A; Cabib, I; Caon, M; Deller, J; Derous, E; Drury, L; Eppler-Hattab, R; Fasbender, U; Fülöp, M; Furunes, T; Gerpott, FH; Gostautaite, B; Halvorsen, CJ; Hernaus, T; Inceoglu, I; Iskifoglu, M; Ivanoska, KS; Kanfer, R; Kenig, N; Kiran, S; Klimek, S; Kunze, F; Mertan, EB; Varianou-Mikellidou, C; Moasa, H; Ng, YL; Parker, SK; Reh, S; Resuli, V; Schmeink, M; Silberg, S; Sousa, IC; Steiner, DD; Stukalina, Y; Tomas, J; Topa, G; Turek, K; Vignoli, M; von Bonsdorff, M; Wang, DH; Wang, M; Yeung, DYL; Yildirim, K; Zhang, X; Znidarsic, J","Bringing together 150+ scholars and practitioners from 50+ countries, and funded by the European Commission, COST Action LeverAge (https://www.cost.eu/actions/CA22120/) is the first network-building project of its kind in the work and organizational psychology and human resource management (WOP/HRM) aspects of work and aging. Focused on the aging workforce, the Action aims to foster interdisciplinary and multinational scientific excellence and the translation of science to practical and societal impact across 4 years. Based on a research synthesis, we identify five broad research directions for work and aging science including work and organizational practices for a multi-age workforce, successful aging at work, the integration of age-diverse workers and knowledge transfer, aging and technology at work, and career development in later life and retirement. We provide key research questions to guide scientific inquiry along these five research directions alongside best practice recommendations to expand scholarly impact in WOP/HRM.",age diversity at work; aging workforce; older adults and workers; age stereotyping and age discrimination; age-inclusive human resource management and practices,OXFORD UNIV PRESS,OXFORD,2024,J,English,http://dx.doi.org/10.1093/workar/waae009,38,6,6,8,51,"Industrial Relations & Labor; Psychology, Applied; Management",Social Science Citation Index (SSCI),Business & Economics; Psychology
"Research Priorities In Hiv, Aging And Rehabilitation: Building On A Framework With The Canada-International Hiv And Rehabilitation Research Collaborative","O'Brien, KK; Ibáñez-Carrasco, F; Birtwell, K; Donald, G; Brown, DA; Eaton, AD; Kasadha, B; Stanmore, E; Clair-Sullivan, NS; Townsend, L; Vera, JH; Solomon, P","BackgroundIn 2016, the Canada-International HIV and Rehabilitation Research Collaborative established a framework of research priorities in HIV, aging and rehabilitation. Our aim was to review and identify any new emerging priorities from the perspectives of people living with HIV, clinicians, researchers, and representatives from community organizations.MethodsWe conducted a multi-stakeholder international consultation with people living with HIV, researchers, clinicians and representatives of community-based organizations. Stakeholders convened for a one-day Forum in Manchester, United Kingdom (UK) to discuss research priorities via a web-based questionnaire and facilitated discussions. We analyzed data using conventional content analytical techniques and mapped emerging priorities onto the foundational framework.ResultsThirty-five stakeholders from the UK(n = 29), Canada(n = 5) and Ireland(n = 1) attended the Forum, representing persons living with HIV or representatives from community-based organizations(n = 12;34%), researchers or academics(n = 10;28%), service providers(n = 6;17%), clinicians(n = 4;11%); and trainees(n = 4;11%). Five priorities mapped onto the Framework of Research Priorities across three content areas: A-Episodic Health and Disability Aging with HIV (disability, frailty, social participation), B-Rehabilitation Interventions for Healthy Aging across the Lifespan (role, implementation and impact of digital and web-based rehabilitation interventions) and C-Outcome Measurement in HIV and Aging (digital and web-based rehabilitation health technology to measure physical activity). Stakeholders indicated methodological considerations for implementing digital and web-based rehabilitation interventions into research and practice and the importance of knowledge transfer and exchange among the broader community.ConclusionResults highlight the sustained importance of the Framework of Research Priorities and provide further depth and areas of inquiry related to digital and web-based rehabilitation interventions and technology aging with HIV.",HIV; Disability; Rehabilitation; Research priorities; Aging,BMC,LONDON,2023,J,English,http://dx.doi.org/10.1186/s12981-023-00582-4,46,3,3,0,1,Infectious Diseases,Science Citation Index Expanded (SCI-EXPANDED),Infectious Diseases
Aging Workforce And Learning: State-Of-The-Art,"Ranasinghe, T; Grosse, EH; Glock, CH; Jaber, MY","The population of most developed countries is aging; thus, the median age of the global workforce continues to rise. Human aging often results in a decline in physical and cognitive abilities, which may adversely affect the performance of labor-intensive manufacturing systems. Older workers embody profound experience and refined skills, which are success factors for manufacturing companies. Therefore, it is important for manufacturing companies to ensure that older workers remain active and productive. Identifying the potential of an aging workforce, employing technical assistance systems to meet their needs, customizing work flow processes, imparting proper training, and utilizing their experience and skills may provide a competitive advantage for the company. This paper reviews the relevant literature to understand how aging influences workers' learning in the manufacturing and service industries and identifies management concepts and technologies suitable to support an active aging workforce. We report preliminary insights and discuss selected papers on how aging influences learning-by-doing, life-long learning, training, and experiential knowledge retention. Finally, we propose some future research directions. Copyright (c) 2023 The Authors.",Ageing; workforce; learning; review; manufacturing,ELSEVIER,AMSTERDAM,2023,C,English,http://dx.doi.org/10.1016/j.ifacol.2023.10.1652,33,2,2,2,13,Automation & Control Systems,Conference Proceedings Citation Index - Science (CPCI-S),Automation & Control Systems
Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,"Stege, T; Çolakhasanoglu, S; Nijland, K; Salomons, E; Bos, DPO; De Vries, S","Due to an aging population, many manufacturing companies face the challenge of retaining essential knowledge and preventing the loss of valuable expert knowledge. Cognitive Support Technology (CST) is technology used to provide support for the cognitive or mental demands that work requires. This research uses the principles of CST from the employer's viewpoint. The question is: how can technological solutions such as Augmented Reality be used for knowledge retention by means of knowledge capture and instruction, and which manufacturing processes are most suitable for this? Six industrial companies were involved in a two-pronged approach for data collection, involving a canvas session to identify general needs and a cognitive task analysis to further elaborate on the appropriate processes. All companies found at least some relevant process for implementation of AR for cognitive support, especially when it comes to AR instruction; for knowledge capture, more traditional methods involving paper or video are often preferred. We found various relevant cognitive challenges, including mental rotation for 3D images, as well as practical challenges for implementation, such as protective equipment that might interfere with AR solutions. One of the companies also took part in a pilot in order to test AR solutions for knowledge capture and instruction. It was found that employees appreciate the cognitive support, but have some reservations about practical issues such as the heaviness of the AR systems. Further research will focus on developing these AR solutions for the identified processes, as well as the implementation and evaluation of these solutions.",Cognitive support; Augmented Reality; manufacturing industry; aging workforce,ASSOC COMPUTING MACHINERY,NEW YORK,2025,C,English,http://dx.doi.org/10.1145/3733155.3734902,18,0,0,0,0,"Computer Science, Cybernetics; Computer Science, Interdisciplinary Applications; Engineering, Multidisciplinary; Ergonomics",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Computer Science; Engineering
The Ecosystem Of Human Capital In Care Homes,"Kejzar, A; Turunen, KM","Introduction This qualitative study addresses the essential yet often overlooked experiences of knowledge transfer within care homes (CH). Conducted in a Slovenian CH in 2020 and 2023, participants, including CH management, staff, and residents with their relatives, shared perceptions of knowledge transfer at various levels. The study aims to explore barriers and facilitators for knowledge transfer crucial for creating new knowledge, services, and enhancing care quality for older individuals.Methods Structured focus group interviews were conducted, and data were collected within the CH. The participants' insights into knowledge transfer were probed, covering various dimensions such as between individuals, groups, organizations, and the community. Transcriptions of recorded interviews were analyzed using content analysis.Results Knowledge transfer within the CH was facilitated through continuous training, diverse communication channels, and mentoring. Collaboration with relatives improved understanding of resident preferences, habits, and overall enhanced the quality of care. This collaborative effort allowed mutual learning and knowledge transfer from the CH to the broader community. Despite potential benefits, there is an underutilization of information and communication technology, e-care, and untapped potential for partnerships, partly due to the scarcity of care. Barriers were identified in the form of stereotypical attitudes towards aging and care, further reinforced by negative news coverage on older people's care.Conclusion The multidimensional nature of knowledge in CH centers on resident well-being, emphasizing three key aspects of knowledge transfer: between staff and residents, staff and residents' families, and between the CH and the community. In the context of age management, creating opportunities for knowledge transfer is crucial, emphasizing a transition from traditional institutional care to an approach prioritizing knowledge about quality care. and involving experts from experiences in care process.",tacit knowledge; care home; intellectual capital; knowledge transfer; experts from experience,FRONTIERS MEDIA SA,LAUSANNE,2024,J,English,http://dx.doi.org/10.3389/fpubh.2024.1298833,45,0,0,0,4,"Public, Environmental & Occupational Health",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),"Public, Environmental & Occupational Health"
Ai Technology Adoption And Intergenerational Knowledge Transfer Among Older Employees,"Guo, YH; Wei, L","Introduction This study employs the Job-Demands-Resources model and Conservation of Resources theory to examine the impact of artificial intelligence (AI) technology adoption on intergenerational knowledge transfer among older employees. It focuses on the psychological motivation underlying this phenomenon and identifies individual factors that affect intergenerational knowledge transfer. The purpose is to gain a deep understanding of the internal mechanisms of employee cognition and behavior change in the context of technological transformation.Methods We surveyed 635 older employees from various industries in China and analyzed the data using SPSS 27.0, Mplus 8.3, and fsQCA 4.1. The data were analyzed via a moderated sequential mediation model to examine the relationships among AI technology adoption, identity threat, relational crafting, digital self-efficacy and intergenerational knowledge transfer, supplemented by fuzzy-set qualitative comparative analysis (fsQCA). The study tested the mediating effects of identity threat and relational crafting between AI technology adoption and intergenerational knowledge transfer, as well as the moderating role of digital self-efficacy. In addition, fsQCA was used to test antecedents of intergenerational knowledge transfer among older employees.Results The findings indicate that AI technology adoption positively influences intergenerational knowledge transfer. Identity threat and relational crafting play mediating roles between AI technology adoption and intergenerational knowledge transfer and also serve as sequential mediators. Digital self-efficacy negatively moderates the impact of AI technology adoption on identity threat, thereby moderating both the mediating role of identity threat and the sequential mediating effect of identity threat and relational crafting. Additionally, fsQCA identified three antecedent configurations that trigger intergenerational knowledge transfer among older employees.Discussion Prior research on AI technology adoption has tended to emphasize singular positive or negative impacts on specific variables. This study constructs a model that incorporates both positive and negative effects, elucidating the multifaceted mechanisms through which AI technology adoption influences intergenerational knowledge transfer and enriches research on the consequences of AI technology adoption. While existing literature often highlights negative psychological and behavioral impacts of AI technology adoption on older employees, the present findings show that AI technology adoption can significantly enhance intergenerational knowledge transfer among older employees, thereby complementing current findings. Finally, by adopting a configurational thinking, this study identifies multiple pathways through which various factors affect intergenerational knowledge transfer, providing a useful complement to single-factor analyses of AI technology adoption's impact. Thereby, the study offers practical insights for organizations seeking to develop inclusive technological-culture strategies.",AI technology adoption; intergenerational knowledge transfer; relational crafting; older employees; identity threat,FRONTIERS MEDIA SA,LAUSANNE,2025,J,English,http://dx.doi.org/10.3389/fpsyg.2025.1673730,60,0,0,29,29,"Psychology, Multidisciplinary",Social Science Citation Index (SSCI),Psychology
Intergenerational Differences And Knowledge Transfer Among Slovenian Engineers,"Luzar, M; Zoran, AG; Markic, M; Bukovec, B","Background and Purpose: The study investigated the impact of intergenerational differences on knowledge transfer among engineers in large Slovenian production organizations.Method: Using the Delphi method, experts answered open-ended questions. The process concluded with a consensus reached in the third round. The resulting questionnaire was then administered to engineers of all ages working in large production organizations.Results: The experts' responses indicated that intergenerational differences are most prominent in the workplace in terms of computer literacy and the use of information and communications technology. Effective employee engagement, including exemplary leadership, a system of mentoring and reverse mentoring, and a supportive organizational culture, was found to enhance the flow of knowledge transfer. Statistical analysis revealed that there are statistically significance intergenerational differences in knowledge transfer among engineers in large production organizations (p < 0.001).Conclusion: The study's findings suggest that recognizing intergenerational differences and fostering the abilities of employees can contribute to organizational success. However, the study is limited to engineers in large production organizations in Slovenia. Future research should explore organizations in a wider geographical area and across different sectors.",Knowledge; Knowledge transfer; Generations; Intergenerational differences; Organization; Engineers; Manufacturing; production organizations,SCIENDO,WARSAW,2023,J,English,http://dx.doi.org/10.2478/orga-2023-0005,47,2,2,8,24,Management,Emerging Sources Citation Index (ESCI),Business & Economics
Integration Of Virtual Technology As A Pedagogical Tool In Construction Knowledge Transfer,"Sengupta, R; Sparkling, AE","The construction sector in the United States (US) is facing a shortage of employees due to high and disproportionate rates of retirement. Experienced professionals are leaving the industry to pave the way for inexperienced recruits lacking implicit or experiential knowledge. This loss of knowledge contributes to annual financial losses as novices cannot gain experience at the required rate to combat the knowledge drain. Combining traditional tools with innovative technology such as virtual reality (VR) and mixed reality (MR) have the potential to bridge this gap in construction management (CM). VR is now being rapidly used in CM due to the ease it provides in information modeling, safety training, and knowledge management. This paper proposes a theoretical framework to understand whether tacit knowledge can be delivered using VR to improve students' situational awareness in the context of CM education and mechanical, electrical, and plumbing (MEP) components. It utilizes VR in information transfer from an expert to novice, and then measures whether their knowledge is enhanced using such hybrid teaching methods instead of more traditional classrooms. The framework brings VR hardware into CM education and gives undergraduate students an opportunity to exploit its full worth. This work has the potential to create more experienced CM graduates before they join the industry and will enable improved tacit knowledge transfer from experts to novices.",Engineering Education; Tacit Knowledge; Knowledge Transfer; Hybrid learning; AEC; Construction Management; Virtual Reality,AMER SOC CIVIL ENGINEERS,NEW YORK,2022,C,English,,35,1,1,0,5,"Engineering, Biomedical; Engineering, Civil",Conference Proceedings Citation Index - Science (CPCI-S),Engineering
Bridging Generations: Key Determinants Of Intergenerational Knowledge Transfer From Older To Younger Employees In Green Building Projects,"Zhou, QW; Xin, ZT; Xu, YN; Fong, PSW","Despite the growing importance of green building projects, limited research has explored the factors influencing intergenerational knowledge transfer (IGKT) in this context. As green building projects are increasingly characterized by high environmental standards, technological complexity, and interdisciplinary collaboration, effective knowledge transfer from older to younger employees becomes crucial for ensuring the success and sustainability of these projects. This study addresses this gap by systematically examining the key factors influencing IGKT in green building projects, applying an integrated Decision-Making Trial and Evaluation Laboratory (DEMATEL) and Interpretive Structural Modeling (ISM) methodology. Firstly, twelve factors were identified across five dimensions: transfer subjects, inter-subject relationships, transfer objects, transfer channels, and transfer context. Based on expert input, a direct influence matrix was constructed, and centrality and cause degrees were calculated to distinguish causal and result factors. Subsequently, the ISM method was employed to classify the key factors hierarchically and develop a multi-level structural model of their interaction paths. Results show that organizational support climate ranked highest in both centrality and influence, while digital transformation capacity emerged as a key driver in green project environments. Surface-level factors (e.g., knowledge absorption and transmission capability) were highly susceptible; intermediate factors (e.g., motivation, knowledge distance) acted as bridges; and deep-level factors (e.g., knowledge complexity and embeddedness), though lower in centrality, posed long-term structural constraints. This study provides valuable insights for enhancing IGKT and fostering effective cross-generational collaboration, which is essential for advancing sustainable practices in the green building sector.",intergenerational knowledge dynamics; generational knowledge transfer; project knowledge management; construction workforce learning; sustainable building practice,MDPI,BASEL,2025,J,English,http://dx.doi.org/10.3390/buildings15244449,94,0,0,1,1,"Construction & Building Technology; Engineering, Civil",Science Citation Index Expanded (SCI-EXPANDED),Construction & Building Technology; Engineering
