uuid,division,majorGroup,activity_name,knowledge_flows,tacit_knowledge_types,technologies
c8d41b6b-127e-4e6f-b197-938f48f4df4a,B. Division B: Mining,Major Group 10: Metal Mining,Deliberate Practice,,,Virtual Reality
c8d41b6b-127e-4e6f-b197-938f48f4df4a,B. Division B: Mining,Major Group 10: Metal Mining,Deliberate Practice,,,Augment Reality
9b579826-b0b7-41ed-9e14-f34b7cc78580,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Relational Tacit Knowledge,AI
9b579826-b0b7-41ed-9e14-f34b7cc78580,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Relational Tacit Knowledge,Big Data
9b579826-b0b7-41ed-9e14-f34b7cc78580,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Relational Tacit Knowledge,Virtual Reality
9b579826-b0b7-41ed-9e14-f34b7cc78580,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Collective Tacit Knowledge,AI
9b579826-b0b7-41ed-9e14-f34b7cc78580,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Collective Tacit Knowledge,Big Data
9b579826-b0b7-41ed-9e14-f34b7cc78580,I. Division I: Services,Major Group 82: Educational Services,Communities of practice,,Collective Tacit Knowledge,Virtual Reality
894b3b3f-40f2-418c-966b-205108adf925,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,,,Virtual Reality
894b3b3f-40f2-418c-966b-205108adf925,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,,,Augment Reality
f70503b9-87cc-4314-a9c8-c7a7e3523ad3,D. Division D: Manufacturing,Major Group 35: Industrial And Commercial Machinery And Computer Equipment,Mentoring,,,Augment Reality
a9f53cc7-9f3e-456c-8010-e13a9d251bf9,I. Division I: Services,Major Group 73: Business Services,Knowledge Harvesting Workshops,Externalization,Intellectual Tacit Knowledge,AI
a9f53cc7-9f3e-456c-8010-e13a9d251bf9,I. Division I: Services,Major Group 73: Business Services,Knowledge Harvesting Workshops,Externalization,Collective Tacit Knowledge,AI
a9f53cc7-9f3e-456c-8010-e13a9d251bf9,I. Division I: Services,Major Group 73: Business Services,Mentoring,Socialization,Relational Tacit Knowledge,AI
a9f53cc7-9f3e-456c-8010-e13a9d251bf9,I. Division I: Services,Major Group 73: Business Services,Mentoring,Socialization,Somatic Tacit Knowledge,AI
a9f53cc7-9f3e-456c-8010-e13a9d251bf9,I. Division I: Services,Major Group 73: Business Services,Mentoring,Internalization,Relational Tacit Knowledge,AI
a9f53cc7-9f3e-456c-8010-e13a9d251bf9,I. Division I: Services,Major Group 73: Business Services,Mentoring,Internalization,Somatic Tacit Knowledge,AI
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Externalization,Somatic Tacit Knowledge,AI
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Externalization,Somatic Tacit Knowledge,Big Data
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Externalization,Relational Tacit Knowledge,AI
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Externalization,Relational Tacit Knowledge,Big Data
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Combination,Somatic Tacit Knowledge,AI
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Combination,Somatic Tacit Knowledge,Big Data
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Combination,Relational Tacit Knowledge,AI
76bcda04-3996-4a33-a0b3-ba5460783452,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Critical Incident Technique,Combination,Relational Tacit Knowledge,Big Data
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Somatic Tacit Knowledge,Virtual Reality
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Somatic Tacit Knowledge,Augment Reality
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Virtual Reality
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Internalization,Intellectual Tacit Knowledge,Augment Reality
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Somatic Tacit Knowledge,Virtual Reality
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Somatic Tacit Knowledge,Augment Reality
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Intellectual Tacit Knowledge,Virtual Reality
9e08641b-d6a9-411c-9447-368b3130ae80,I. Division I: Services,Major Group 80: Health Services,Deliberate Practice,Combination,Intellectual Tacit Knowledge,Augment Reality
cc5b72e6-fc7c-499c-98ab-36376401f7f7,D. Division D: Manufacturing,"Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Knowledge Harvesting Workshops,Externalization,Relational Tacit Knowledge,AI
