Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Database,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,WoS Categories,Web of Science Index,Research Areas,style,relevance,challenges,methods,findings,industries,activities,uuid
Gamification In Learning And Development: A Qualitative Study On The Indian Mining Sector,"Sharma, Aprajita1; Pandey, Saumya1; Singh, Sharda2; Ghatak, Indrani21 Management Student, Human Resource Management Program, Xavier Institute of Social Service, Ranchi, Jharkhand, India2 Assistant Professor, Human Resource Management Program, Xavier Institute of Social Service, Ranchi, Jharkhand, India","In the dynamic volatile, uncertain, complex, ambiguous (VUCA) landscape, industries like metals and mining face a pressing challenge of skill scarcity due to the struggle to keep up with technological advancements. To revitalize their workforce and appeal to younger generations, integrating gamification into learning and development approaches holds immense potential. Employee motivation and knowledge retention can be elevated by infusing game mechanics such as badges, points, and leaderboards. Gamification fosters engagement, teamwork, and innovation through interactive experiences. This approach can effectively address the skill shortage by enhancing the industry's attractiveness and competitiveness. The paper aims to investigate the skill deficit in the metals and mining sector and explore how gamified learning methods can effectively alleviate this challenge, ultimately aiding in talent acquisition and retention. The study used purposive sampling, and data was gathered through semi-structured interviews with primary stakeholders of learning and development functions. Further, the qualitative data was subjected to thematic analysis using NVivo software. Two significant themes, from eight sub-themes that emerged from thirty codes, were identified. The first theme was issues with the young generation, and the second was the benefits of gamification in learning and development. The study suggests the need for and advantage of gamification in human resource management's learning and development function.",Empty,IUP Journal of Organizational Behavior; Hyderabad,India,2024,Scholarly Journal,English,Empty,"ProQuest One Sustainability,ProQuest One Business,ProQuest One Psychology",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.9,"Skill scarcity in the metals and mining industry due to the struggle to keep up with technological advancements, making it difficult to attract and retain younger generations.","['Purposive sampling', 'Semi-structured interviews', 'Thematic analysis using NVivo software']","Gamification can enhance employee motivation, knowledge retention, and overall engagement, addressing the skill shortage by making the industry more attractive and competitive. Two significant themes were identified: issues with the young generation and the benefits of gamification in learning and development.","{'division': 'B. Division B: Mining', 'majorGroup': 'Major Group 10: Metal Mining'}","[{'activity_name': 'Deliberate Practice', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality', 'Augment Reality']}]",c8d41b6b-127e-4e6f-b197-938f48f4df4a
Knowledge Exchange In The Context Of Remote Work: Generation Z Perspective,"Albrychiewicz-Słocińska, Anna11 Department of Applied Sociology and Human Resource Management, Faculty of Management, Częstochowa University of Technology, Poland","The key element of knowledge management is that all knowledge, both explicit and tacit, accumulated by an organization becomes easily accessible to each of its members. This is important for decision-making processes and allows the organization to become more agile. In the literature there is an increasingly common attitude that more attention should be paid not only to the technological but also to the human aspect of knowledge management. The processes of knowledge exchange among employees have been subject to extensive research and studies, yet the recent years have added another thread to the discussion about the matter, i.e. a significant proportion of employees switching to the online work model. The aim of this article is to demonstrate how issues of knowledge exchange and learning influence preferences in choosing the form of work in the future. Based on the findings of the studies conducted on a group of employees representing Generation Z, the Principal Component Analysis (PCA) technique and was applied to organize the factors with the highest relevance for the respondents in online work. Cluster analysis was used for segmentation purposes. PCA demonstrated that the components recognized as most important were those relating to knowledge transfer and their impact on employee efficiency, and on the other hand employee relations as a factor that supports the learning processes. Cluster analysis proved that learning and knowledge exchange opinions have an impact on the form of work preferences.","Learning, Knowledge Exchange, Remote Work, Generation Z",European Conference on Knowledge Management; Kidmore End,United Kingdom,2024,Conference Paper,English,Empty,"ABI/INFORM Collection,ProQuest One Sustainability,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.8,The impact of knowledge exchange and learning on the preferences for online work among Generation Z employees.,"['Principal Component Analysis (PCA)', 'Cluster analysis']","Knowledge transfer and its impact on employee efficiency, as well as employee relations supporting learning processes, were identified as the most important components. Learning and knowledge exchange opinions influence the form of work preferences.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 82: Educational Services'}","[{'activity_name': 'Communities of practice', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Relational Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI', 'Big Data', 'Virtual Reality']}]",9b579826-b0b7-41ed-9e14-f34b7cc78580
Creation Of The Sonntag Virtual Reality Laboratory: A Framework For Innovation In Neurosurgical Training And Global Education,"Giraldo, Juan P1; Cho, Steve S; Farber, S Harrison; Godzik, Jakub; Ehredt, Ryan B; Michaels, Chinami; Fotias, Demos J; Sonntag, Volker K H; Uribe, Juan S1 Department of Neurosurgery, Barrow Neurological Institute, St. Joseph's Hospital and Medical Center, Phoenix, Arizona, USA","Neurosurgical education requires innovative approaches to meet the demands of an evolving field and adequately train the next generation of surgeons. The Sonntag Virtual Reality Laboratory (SVRL) was established to transform neurosurgical education by harnessing immersive technologies such as virtual reality (VR), augmented reality (AR), and mixed reality (MR). Inspired by the legacy of Dr Volker K. H. Sonntag, the SVRL aims to enhance skill acquisition and knowledge retention through high-fidelity simulations, interactive anatomic modules, and advanced spine procedure training. BACKGROUND AND OBJECTIVES Neurosurgical education requires innovative approaches to meet the demands of an evolving field and adequately train the next generation of surgeons. The Sonntag Virtual Reality Laboratory (SVRL) was established to transform neurosurgical education by harnessing immersive technologies such as virtual reality (VR), augmented reality (AR), and mixed reality (MR). Inspired by the legacy of Dr Volker K. H. Sonntag, the SVRL aims to enhance skill acquisition and knowledge retention through high-fidelity simulations, interactive anatomic modules, and advanced spine procedure training.A multidisciplinary team of neurosurgeons, medical educators, and technology experts collaborated to align SVRL development with core educational goals. The initial phase focused on curriculum design and assessment metrics, followed by the creation of customized VR, AR, and MR modules targeting essential neurosurgical procedures and concepts. All of these modules underwent iterative testing and refinement to ensure educational value and clinical relevance. METHODS A multidisciplinary team of neurosurgeons, medical educators, and technology experts collaborated to align SVRL development with core educational goals. The initial phase focused on curriculum design and assessment metrics, followed by the creation of customized VR, AR, and MR modules targeting essential neurosurgical procedures and concepts. All of these modules underwent iterative testing and refinement to ensure educational value and clinical relevance.The SVRL has produced innovative applications, including a VR-based freehand pedicle screw placement application, an MR scoliosis module, an ultrarapid artificial intelligence-driven spine model, and a comprehensive VR pathology library. Trainee feedback has been positive, citing improvements in decision-making, technical proficiency, and conceptual understanding. Engagement with SVRL tools has been associated with an increased interest in neurosurgical topics and enhanced learner confidence. RESULTS The SVRL has produced innovative applications, including a VR-based freehand pedicle screw placement application, an MR scoliosis module, an ultrarapid artificial intelligence-driven spine model, and a comprehensive VR pathology library. Trainee feedback has been positive, citing improvements in decision-making, technical proficiency, and conceptual understanding. Engagement with SVRL tools has been associated with an increased interest in neurosurgical topics and enhanced learner confidence.The SVRL represents a forward-thinking approach to neurosurgical training. By offering immersive, scalable, and globally accessible educational experiences, the SVRL breaks down traditional learning barriers. Its early success highlights the potential to reshape surgical education and improve the preparedness of future neurosurgeons worldwide. CONCLUSION The SVRL represents a forward-thinking approach to neurosurgical training. By offering immersive, scalable, and globally accessible educational experiences, the SVRL breaks down traditional learning barriers. Its early success highlights the potential to reshape surgical education and improve the preparedness of future neurosurgeons worldwide.",Empty,"Operative neurosurgery (Hagerstown, Md.)",United States,2026,Scholarly Journal,English,https://doi.org/10.1227/ons.0000000000001893,"ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Health & Nursing",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.9,The need for innovative approaches in neurosurgical education to meet the demands of an evolving field and adequately train the next generation of surgeons.,"['curriculum design', 'assessment metrics development', 'creation of customized VR, AR, and MR modules', 'iterative testing and refinement']","The SVRL has produced innovative applications, including a VR-based freehand pedicle screw placement application, an MR scoliosis module, an ultrarapid artificial intelligence-driven spine model, and a comprehensive VR pathology library. Trainee feedback has been positive, citing improvements in decision-making, technical proficiency, and conceptual understanding. Engagement with SVRL tools has been associated with an increased interest in neurosurgical topics and enhanced learner confidence. The SVRL represents a forward-thinking approach to neurosurgical training, breaking down traditional learning barriers and highlighting the potential to reshape surgical education and improve the preparedness of future neurosurgeons worldwide.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 80: Health Services'}","[{'activity_name': 'Deliberate Practice', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality', 'Augment Reality']}]",894b3b3f-40f2-418c-966b-205108adf925
Bridging Industrial Expertise And Xr With Llm-Powered Conversational Agents,"Tomkou, Despina; Fatouros, George; Andreou, Andreas; Makridis, Georgios; Liarokapis, Fotis; Dardanis, Dimitrios; Kiourtis, Athanasios; Soldatos, John; Kyriazis, Dimosthenis","This paper introduces a novel integration of Retrieval-Augmented Generation (RAG) enhanced Large Language Models (LLMs) with Extended Reality (XR) technologies to address knowledge transfer challenges in industrial environments. The proposed system embeds domain-specific industrial knowledge into XR environments through a natural language interface, enabling hands-free, context-aware expert guidance for workers. We present the architecture of the proposed system consisting of an LLM Chat Engine with dynamic tool orchestration and an XR application featuring voice-driven interaction. Performance evaluation of various chunking strategies, embedding models, and vector databases reveals that semantic chunking, balanced embedding models, and efficient vector stores deliver optimal performance for industrial knowledge retrieval. The system's potential is demonstrated through early implementation in multiple industrial use cases, including robotic assembly, smart infrastructure maintenance, and aerospace component servicing. Results indicate potential for enhancing training efficiency, remote assistance capabilities, and operational guidance in alignment with Industry 5.0's human-centric and resilient approach to industrial development.",Computation and Language; Artificial Intelligence,arXiv.org; Ithaca,United States,2025,Working Paper,English,https://doi.org/10.1109/DCOSS-IoT65416.2025.00158,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.9,knowledge transfer challenges in industrial environments,"['Retrieval-Augmented Generation (RAG) enhanced Large Language Models (LLMs)', 'Extended Reality (XR) technologies', 'natural language interface', 'dynamic tool orchestration', 'voice-driven interaction', 'performance evaluation of various chunking strategies, embedding models, and vector databases']","semantic chunking, balanced embedding models, and efficient vector stores deliver optimal performance for industrial knowledge retrieval; the system's potential is demonstrated through early implementation in multiple industrial use cases, including robotic assembly, smart infrastructure maintenance, and aerospace component servicing; results indicate potential for enhancing training efficiency, remote assistance capabilities, and operational guidance in alignment with Industry 5.0's human-centric and resilient approach to industrial development","{'division': 'D. Division D: Manufacturing', 'majorGroup': 'Major Group 35: Industrial And Commercial Machinery And Computer Equipment'}","[{'activity_name': 'Mentoring', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Augment Reality']}]",f70503b9-87cc-4314-a9c8-c7a7e3523ad3
Socially Interactive Agents For Preserving And Transferring Tacit Knowledge In Organizations,"Benderoth, Martin; Gebhard, Patrick; Keller, Christian; Nakhosteen, C Benjamin; Schaffer, Stefan; Schneeberger, Tanja","This paper introduces a novel approach to tackle the challenges of preserving and transferring tacit knowledge--deep, experience-based insights that are hard to articulate but vital for decision-making, innovation, and problem-solving. Traditional methods rely heavily on human facilitators, which, while effective, are resource-intensive and lack scalability. A promising alternative is the use of Socially Interactive Agents (SIAs) as AI-driven knowledge transfer facilitators. These agents interact autonomously and socially intelligently with users through multimodal behaviors (verbal, paraverbal, nonverbal), simulating expert roles in various organizational contexts. SIAs engage employees in empathic, natural-language dialogues, helping them externalize insights that might otherwise remain unspoken. Their success hinges on building trust, as employees are often hesitant to share tacit knowledge without assurance of confidentiality and appreciation. Key technologies include Large Language Models (LLMs) for generating context-relevant dialogue, Retrieval-Augmented Generation (RAG) to integrate organizational knowledge, and Chain-of-Thought (CoT) prompting to guide structured reflection. These enable SIAs to actively elicit knowledge, uncover implicit assumptions, and connect insights to broader organizational contexts. Potential applications span onboarding, where SIAs support personalized guidance and introductions, and knowledge retention, where they conduct structured interviews with retiring experts to capture heuristics behind decisions. Success depends on addressing ethical and operational challenges such as data privacy, algorithmic bias, and resistance to AI. Transparency, robust validation, and a culture of trust are essential to mitigate these risks.",Human-Computer Interaction,arXiv.org; Ithaca,United States,2025,Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,1.0,"Preserving and transferring tacit knowledge, which is deep, experience-based insights that are hard to articulate but vital for decision-making, innovation, and problem-solving. Traditional methods are resource-intensive and lack scalability.","['Use of Socially Interactive Agents (SIAs) as AI-driven knowledge transfer facilitators', 'Large Language Models (LLMs) for generating context-relevant dialogue', 'Retrieval-Augmented Generation (RAG) to integrate organizational knowledge', 'Chain-of-Thought (CoT) prompting to guide structured reflection']","Socially Interactive Agents (SIAs) can effectively engage employees in empathic, natural-language dialogues, helping them externalize insights that might otherwise remain unspoken. Success depends on building trust, addressing ethical and operational challenges such as data privacy, algorithmic bias, and resistance to AI. Transparency, robust validation, and a culture of trust are essential to mitigate these risks.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 73: Business Services'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Externalization'], 'tacit_knowledge_types': ['Intellectual Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI']}, {'activity_name': 'Mentoring', 'knowledge_flows': ['Socialization', 'Internalization'], 'tacit_knowledge_types': ['Relational Tacit Knowledge', 'Somatic Tacit Knowledge'], 'technologies': ['AI']}]",a9f53cc7-9f3e-456c-8010-e13a9d251bf9
Effortnet: A Deep Learning Framework For Objective Assessment Of Speech Enhancement Technologies Using Eeg-Based Alpha Oscillations,"Ching-Chih Sung; Cheng-Hung, Hsin; Yu-Anne Shiah; Lin, Bo-Jyun; Yi-Xuan, Lai; Chia-Ying, Lee; Yu-Te, Wang; Su, Borchin; Tsao, Yu","This paper presents EffortNet, a novel deep learning framework for decoding individual listening effort from electroencephalography (EEG) during speech comprehension. Listening effort represents a significant challenge in speech-hearing research, particularly for aging populations and those with hearing impairment. We collected 64-channel EEG data from 122 participants during speech comprehension under four conditions: clean, noisy, MMSE-enhanced, and Transformer-enhanced speech. Statistical analyses confirmed that alpha oscillations (8-13 Hz) exhibited significantly higher power during noisy speech processing compared to clean or enhanced conditions, confirming their validity as objective biomarkers of listening effort. To address the substantial inter-individual variability in EEG signals, EffortNet integrates three complementary learning paradigms: self-supervised learning to leverage unlabeled data, incremental learning for progressive adaptation to individual characteristics, and transfer learning for efficient knowledge transfer to new subjects. Our experimental results demonstrate that Effort- Net achieves 80.9% classification accuracy with only 40% training data from new subjects, significantly outperforming conventional CNN (62.3%) and STAnet (61.1%) models. The probability-based metric derived from our model revealed that Transformer-enhanced speech elicited neural responses more similar to clean speech than MMSEenhanced speech. This finding contrasted with subjective intelligibility ratings but aligned with objective metrics. The proposed framework provides a practical solution for personalized assessment of hearing technologies, with implications for designing cognitive-aware speech enhancement systems.",Audio and Speech Processing,arXiv.org; Ithaca,United States,2025,Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.4,"Decoding individual listening effort from electroencephalography (EEG) during speech comprehension, particularly for aging populations and those with hearing impairment.","['Collecting 64-channel EEG data', 'Statistical analyses of alpha oscillations (8-13 Hz)', 'Integrating self-supervised learning, incremental learning, and transfer learning in EffortNet', 'Comparing EffortNet with conventional CNN and STAnet models']","EffortNet achieves 80.9% classification accuracy with only 40% training data from new subjects, significantly outperforming conventional CNN (62.3%) and STAnet (61.1%) models. Transformer-enhanced speech elicited neural responses more similar to clean speech than MMSE-enhanced speech, contrasting with subjective intelligibility ratings but aligning with objective metrics. The proposed framework provides a practical solution for personalized assessment of hearing technologies, with implications for designing cognitive-aware speech enhancement systems.","{'division': 'D. Division D: Manufacturing', 'majorGroup': 'Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks'}","[{'activity_name': 'Critical Incident Technique', 'knowledge_flows': ['Externalization', 'Combination'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge'], 'technologies': ['AI', 'Big Data']}]",76bcda04-3996-4a33-a0b3-ba5460783452
"Towards Effective Immersive Technologies In Medicine: Potential And Future Applications Based On Vr, Ar, Xr And Ai Solutions","Marozau, Aliaksandr; Karpowicz, Barbara; Kowalewski, Tomasz; Zinevych, Pavlo; Stawski, Wiktor; Kuzdraliński, Adam; Kopeć, Wiesław","Mixed Reality (MR) technologies such as Virtual and Augmented Reality (VR, AR) are well established in medical practice, enhancing diagnostics, treatment, and education. However, there are still some limitations and challenges that may be overcome thanks to the latest generations of equipment, software, and frameworks based on eXtended Reality (XR) by enabling immersive systems that support safer, more controlled environments for training and patient care. Our review highlights recent VR and AR applications in key areas of medicine. In medical education, these technologies provide realistic clinical simulations, improving skills and knowledge retention. In surgery, immersive tools enhance procedural precision with detailed anatomical visualizations. VR-based rehabilitation has shown effectiveness in restoring motor functions and balance, particularly for neurological patients. In mental health, VR has been successful in treating conditions like PTSD and phobias. Although VR and AR solutions are well established, there are still some important limitations, including high costs and limited tactile feedback, which may be overcome with implementing new technologies that may improve the effectiveness of immersive medical applications such as XR, psychophysiological feedback or integration of artificial intelligence (AI) for real-time data analysis and personalized healthcare and training.",Human-Computer Interaction,arXiv.org; Ithaca,United States,2025,Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Narrative Review,0.8,High costs and limited tactile feedback in VR and AR solutions,['Review of recent VR and AR applications'],"VR and AR technologies are well established in medical practice, enhancing diagnostics, treatment, and education. They provide realistic clinical simulations, improve procedural precision, enhance motor function and balance in rehabilitation, and treat mental health conditions like PTSD and phobias. New technologies such as XR, psychophysiological feedback, and AI integration may further improve the effectiveness of these applications.","{'division': 'I. Division I: Services', 'majorGroup': 'Major Group 80: Health Services'}","[{'activity_name': 'Deliberate Practice', 'knowledge_flows': ['Internalization', 'Combination'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['Virtual Reality', 'Augment Reality']}]",9e08641b-d6a9-411c-9447-368b3130ae80
Scdd: Latent Codes Based Scrna-Seq Dataset Distillation With Foundation Model Knowledge,"Yu, Zhen; Han, Jianan; Liu, Yang; Chen, Qingchao","Single-cell RNA sequencing (scRNA-seq) technology has profiled hundreds of millions of human cells across organs, diseases, development and perturbations to date. However, the high-dimensional sparsity, batch effect noise, category imbalance, and ever-increasing data scale of the original sequencing data pose significant challenges for multi-center knowledge transfer, data fusion, and cross-validation between scRNA-seq datasets. To address these barriers, (1) we first propose a latent codes-based scRNA-seq dataset distillation framework named scDD, which transfers and distills foundation model knowledge and original dataset information into a compact latent space and generates synthetic scRNA-seq dataset by a generator to replace the original dataset. Then, (2) we propose a single-step conditional diffusion generator named SCDG, which perform single-step gradient back-propagation to help scDD optimize distillation quality and avoid gradient decay caused by multi-step back-propagation. Meanwhile, SCDG ensures the scRNA-seq data characteristics and inter-class discriminability of the synthetic dataset through flexible conditional control and generation quality assurance. Finally, we propose a comprehensive benchmark to evaluate the performance of scRNA-seq dataset distillation in different data analysis tasks. It is validated that our proposed method can achieve 7.61% absolute and 15.70% relative improvement over previous state-of-the-art methods on average task.",Machine Learning; Artificial Intelligence,arXiv.org; Ithaca,United States,2025,Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.8,"The high-dimensional sparsity, batch effect noise, category imbalance, and ever-increasing data scale of the original sequencing data pose significant challenges for multi-center knowledge transfer, data fusion, and cross-validation between scRNA-seq datasets.","['latent codes-based scRNA-seq dataset distillation framework (scDD)', 'single-step conditional diffusion generator (SCDG)']",The proposed method can achieve 7.61% absolute and 15.70% relative improvement over previous state-of-the-art methods on average task.,"{'division': 'D. Division D: Manufacturing', 'majorGroup': 'Major Group 38: Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Externalization', 'Combination'], 'tacit_knowledge_types': ['Relational Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI', 'Big Data']}]",cc5b72e6-fc7c-499c-98ab-36376401f7f7
Research On The Online Update Method For Retrieval-Augmented Generation (Rag) Model With Incremental Learning,"Fan, Yuxin; Wang, Yuxiang; Liu, Lipeng; Tang, Xirui; Sun, Na; Yu, Zidong","In the contemporary context of rapid advancements in information technology and the exponential growth of data volume, language models are confronted with significant challenges in effectively navigating the dynamic and ever-evolving information landscape to update and adapt to novel knowledge in real time. In this work, an online update method is proposed, which is based on the existing Retrieval Enhanced Generation (RAG) model with multiple innovation mechanisms. Firstly, the dynamic memory is used to capture the emerging data samples, and then gradually integrate them into the core model through a tunable knowledge distillation strategy. At the same time, hierarchical indexing and multi-layer gating mechanism are introduced into the retrieval module to ensure that the retrieved content is more targeted and accurate. Finally, a multi-stage network structure is established for different types of inputs in the generation stage, and cross-attention matching and screening are carried out on the intermediate representations of each stage to ensure the effective integration and iterative update of new and old knowledge. Experimental results show that the proposed method is better than the existing mainstream comparison models in terms of knowledge retention and inference accuracy.",Information Retrieval; Computation and Language,arXiv.org; Ithaca,United States,2025,Working Paper,English,Empty,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.9,Language models face significant challenges in effectively navigating the dynamic and ever-evolving information landscape to update and adapt to novel knowledge in real time.,"['online update method', 'Retrieval Enhanced Generation (RAG) model with multiple innovation mechanisms', 'dynamic memory', 'tunable knowledge distillation strategy', 'hierarchical indexing', 'multi-layer gating mechanism', 'multi-stage network structure', 'cross-attention matching and screening']",The proposed method is better than the existing mainstream comparison models in terms of knowledge retention and inference accuracy.,"{'division': 'D. Division D: Manufacturing', 'majorGroup': 'Major Group 35: Industrial And Commercial Machinery And Computer Equipment'}","[{'activity_name': 'Knowledge Harvesting Workshops', 'knowledge_flows': ['Externalization', 'Combination'], 'tacit_knowledge_types': ['Intellectual Tacit Knowledge', 'Collective Tacit Knowledge'], 'technologies': ['AI', 'Big Data']}]",99a7d6f0-21fa-49aa-806c-0b115dc43eb7
From Homed To Forsaid: Sustaining Forest Health Research Across Horizon Projects,"Bozakov, Peter; Battisti, Andrea; Cappellari, Andree; Nardi, Davide; Jactel, Hervé","ENG English ENG Forests play a key role in achieving the objectives of the European Green Deal due to their multifunctional role. They provide multiple ecosystem services, such as soil formation, nutrient cycling, provisioning of timber, food, and water, climate regulation, and flood control, while also being of central importance for biodiversity conservation (Brockerhoff et al. 2017). However, insect and pathogen pests increasingly threaten forests, alone or after abiotic disturbances such as drought, fire, and storms (Romagnoli et al. 2023). Among pests, invasive alien species are of great concern because they can have a strong impact on forest biodiversity and economy, and many efforts are being made to regulate them in the EU (Ghelardini et al. 2017). In addition, several native pests are expanding their range because of climate change and are called emerging pest species (Jactel et al. 2019; Simler-Williamson et al. 2019). Research is therefore essential to support early detection of emerging and invasive pests, monitor their spread, and inform phytosanitary measures that can prevent or mitigate their impacts. In this context, the Horizon 2020 project HOMED (HOlistic Management of Emerging forest pests and Diseases), coordinated by Hervé Jactel from the National Research Institute for Agriculture, Food and the Environment (France), developed a holistic and multi-actor approach to develop tools and methods for the management of emerging native and non-native pests threatening European forests, focusing on all phases of invasion, from prevention to surveillance to eradication and control. The project also broadened the definition of ""forest health"", including trees not only in forests, but also in nurseries, urban and rural areas, owing to the key epidemiological role of these components. The major outputs of the project are synthesised in a special issue of the journal NeoBiota, and include a participatory tool for reporting forest damage data (Silvalert), improved multi-funnel traps with generic pheromone attractants (Santoiemma et al. 2024), pioneering studies on pest detection using remote sensing (Nardi et al. 2023), and sustained stakeholder engagement through six targeted policy briefs. Importantly, HOMED underscored the need for interdisciplinary collaboration across forest entomology and pathology, economics, and social sciences, and highlighted the priority of developing innovative tools for the early detection and eradication of pests. Building on this foundation, the Horizon Europe project FORSAID (FORest Surveillance with Artificial Intelligence and Digital technologies), coordinated by Andrea Battisti from the University of Padova (Italy), continues and expands HOMED's legacy. FORSAID focuses on designing a comprehensive and technologically advanced framework for the early detection and surveillance of EU-regulated forest pests, integrating a wide range of innovative tools, including satellite- and drone-based remote sensing, smart traps with automatic monitoring capacity, robotic devices for rapid insect identification, environmental DNA methods for early pest detection, and citizen science approaches supported by mobile applications. Stakeholder engagement is central to this process, ensuring that research outputs are aligned with end-user needs and can be effectively implemented in practice. The project aims to integrate these methods into a coherent and operational monitoring and assessment system for regulated pests, thereby supporting the development of a novel pan-European strategy for forest pest management. FORSAID also ensures continuity and knowledge transfer from HOMED. For example, data on pest distribution collected in HOMED through Silvalert now serves as a baseline for FORSAID remote sensing activities. Generic attractants validated globally in HOMED are being incorporated into next-generation smart traps. Lastly, stakeholder surveys from HOMED provide direct input into FORSAID's research agenda. By maintaining and extending these outputs, FORSAID exemplifies how scientific legacies can be consolidated and advanced across projects. Together, HOMED and FORSAID demonstrate the value of sustained research, innovation, and cross-disciplinary collaboration in forest health management, and their combined contributions highlight the importance of open data, participatory science, and stakeholder-driven approaches in building robust strategies against emerging forest pests.",pests; Earth observation; open data; knowledge transfer; research continuity; article; article,Biodiversity Information Science and Standards,Empty,2025,Scholarly Journal,English,https://doi.org/10.3897/biss.9.181329,"ProQuest One Sustainability,SciTech Premium Collection",Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Original Research,0.7,"Insect and pathogen pests, including invasive alien species and native pests expanding their range due to climate change, threaten forest health and biodiversity, necessitating early detection, monitoring, and management.","['participatory tool for reporting forest damage data (Silvalert)', 'improved multi-funnel traps with generic pheromone attractants', 'pest detection using remote sensing', 'stakeholder engagement through policy briefs', 'integration of satellite- and drone-based remote sensing, smart traps, robotic devices, environmental DNA methods, and citizen science approaches']","The HOMED project developed a holistic and multi-actor approach to manage emerging and invasive pests, including tools and methods for prevention, surveillance, eradication, and control. The FORSAID project builds on this by designing a comprehensive and technologically advanced framework for early detection and surveillance, integrating innovative tools and ensuring stakeholder engagement.","{'division': 'A. Division A: Agriculture, Forestry, And Fishing', 'majorGroup': 'Major Group 08: Forestry'}","[{'activity_name': 'Communities of practice', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': ['AI', 'Big Data']}, {'activity_name': 'After-Action Reviews', 'knowledge_flows': ['Socialization', 'Externalization', 'Combination', 'Internalization'], 'tacit_knowledge_types': ['Somatic Tacit Knowledge', 'Relational Tacit Knowledge', 'Collective Tacit Knowledge', 'Intellectual Tacit Knowledge'], 'technologies': []}]",f3086762-6a34-4349-8295-4158aba5f439
