问题描述	问题分类	标准化日期
奇瑞iCAR 03低速行驶底盘异响	质量问题	11/3/2025
奇瑞iCAR V23车顶油漆存在瑕疵 影响美观	质量问题	11/5/2025
奇瑞iCAR 03车辆刹车油管漏油 刹车失灵	质量问题	11/5/2025
奇瑞iCAR 03经销商出售车辆车门存在喷漆	质量问题	3/5/2024
奇瑞iCAR 03T方向盘转向失灵 无法转向	质量问题	11/6/2025
奇瑞iCAR 超级V23赠送6次保养不兑现	销售未兑现承诺	10/27/2025
奇瑞iCAR 03T方向盘转向失灵 无法转向	质量问题	10/30/2025
奇瑞iCAR V23新车转向卡滞 高速打方向困难	质量问题	11/3/2025
奇瑞iCAR 03行驶过程中全车断电	质量问题	10/24/2025
奇瑞iCAR 03售后检测未按标准执行 要求道歉	售后服务问题	10/24/2025
奇瑞iCAR 03T方向盘转向失灵 无法转向	质量问题	10/19/2025
奇瑞iCAR 03T购车承诺赠送充电桩未兑现	销售未兑现承诺	10/16/2025
奇瑞iCAR 03行驶中驱动电机故障 全车断电	质量问题	10/17/2025
奇瑞iCAR 超级V23车辆慢充充不了电	质量问题	10/12/2025
奇瑞iCAR V23主驾车窗升降按钮故障	质量问题	9/29/2025
奇瑞iCAR 超级V23销售私自锁单订金不退	销售未兑现承诺	9/28/2025
奇瑞iCAR V23购车销售隐瞒手续费及优惠	销售未兑现承诺	9/28/2025
奇瑞iCAR 03T车辆全车无声音 要求处理	质量问题	9/24/2025
奇瑞iCAR 03T新车动力电池充电异常	质量问题	9/24/2025
奇瑞iCAR V23后视镜设计缺陷 360影像小	质量问题	9/22/2025
奇瑞iCAR V23终身质保不兑现 无OTA升级	销售未兑现承诺	9/22/2025
奇瑞iCAR 03车顶漏水 后备箱漏水 线路故障	质量问题	9/23/2025
奇瑞iCAR 03充电桩故障离线 无售后处置	售后服务问题	9/20/2025
奇瑞iCAR 03未明确告知充电桩免费安装时效	售后服务问题	9/17/2025
iCAR 03电机故障 要求补偿相关费用	质量问题	11/9/2025
iCAR 超级V23爬坡中跳入倒挡 刹车无效果	质量问题	11/8/2025
iCAR 超级V23 新车掉漆 踩刹车侧滑	质量问题	10/28/2025
iCAR 超级V23销售欺瞒不解决问题 车机卡顿	销售未兑现承诺	11/4/2025
iCAR 超级V23 车辆未交付但APP显示已交付	售后服务问题	10/25/2025
奇瑞iCAR 03全车故障码全亮 刹车刹不住	质量问题	9/10/2025
奇瑞iCAR 03电机异响 车门异响 后视镜 故障	质量问题	9/11/2025
iCAR 超级V23购车缴纳诚意金未退还	销售未兑现承诺	9/22/2025
奇瑞iCAR V23高速NOA智能领航无故退出	质量问题	9/11/2025
奇瑞iCAR V23车漆开裂 玻璃升降开关失灵	质量问题	9/9/2025
奇瑞iCAR V23购车销售隐瞒手续费及优惠	销售未兑现承诺	9/8/2025
奇瑞iCAR 03传动轴异响 电池包故障	质量问题	8/29/2025
iCAR 超级V23车身塑料覆盖件凹陷变形	质量问题	9/22/2025
奇瑞iCAR 03安全带磨损 车内异响	质量问题	8/26/2025
iCAR 超级V23虚假宣传夸大政府补贴款金额	销售未兑现承诺	9/22/2025
奇瑞iCAR V23事故维修进度慢 故障拖延	售后服务问题	8/26/2025
奇瑞iCAR V23行驶时雨刮器和转向灯无法使用	质量问题	8/27/2025
奇瑞iCAR V23起步时车轮异响 查不出问题	质量问题	8/25/2025
奇瑞iCAR 03车机系统崩溃无法连网 天窗漏水	质量问题	8/25/2025
奇瑞iCAR 03售后过度保养 不给升级蓝牙钥匙	售后服务问题	8/22/2025
奇瑞iCAR 03T经销商不退还订金要求处理	销售未兑现承诺	8/19/2025
奇瑞iCAR V23主驾驶内有电流声 要求处理	质量问题	8/7/2025
奇瑞iCAR V23车辆行驶跑偏 处理后未解决	质量问题	8/19/2025
奇瑞iCAR 03T车机有BUG 无法OTA升级	质量问题	8/16/2025
奇瑞iCAR V23车顶油漆存在瑕疵 影响美观	质量问题	8/14/2025
奇瑞iCAR 03车身漏水 要求厂家解决	质量问题	8/12/2025
奇瑞iCAR V23新车大灯故障 要求退车	质量问题	8/12/2025
奇瑞iCAR V23安装爬梯磨损车漆 要求处理	质量问题	8/8/2025
奇瑞iCAR V23车顶油漆存在瑕疵 影响美观	质量问题	8/5/2025
奇瑞iCAR 03刹车异响 后部异响 密封条破损	质量问题	8/5/2025
奇瑞iCAR V23电量虚标续航里程不足	质量问题	6/13/2025
奇瑞iCAR V23黑色塑料饰板腐蚀 态度恶劣	质量问题	8/2/2025
奇瑞iCAR 03车机经常死机黑屏 影响使用体验	质量问题	7/30/2025
奇瑞iCAR 03电机控制器故障 无法行驶	质量问题	7/29/2025
奇瑞iCAR V23车机APP问题一直未解决	质量问题	7/29/2025
奇瑞iCAR V23车辆P挡状态自动倒退	质量问题	7/28/2025
奇瑞iCAR 03车身异响 要求厂家解决	质量问题	4/29/2025
奇瑞iCAR 03车门无法打开 影响正常用车	质量问题	7/26/2025
奇瑞iCAR V23新车车身凹陷 要求处理	质量问题	7/22/2025
奇瑞iCAR 03销售承诺不兑现 要求处理	销售未兑现承诺	7/15/2025
奇瑞iCAR 03购车发票错误导致补贴无法兑现	销售未兑现承诺	7/14/2025
奇瑞iCAR V23车机更新失败 影响使用	质量问题	7/12/2025
奇瑞iCAR 03中控锁故障 自动停止充电	质量问题	7/12/2025
奇瑞iCAR 03车辆无法启动 无法挂挡	质量问题	7/10/2025
奇瑞iCAR 03空调不制冷 下摆臂生锈	质量问题	7/8/2025
奇瑞iCAR V23不予提供合格证 无法上牌	售后服务问题	7/2/2025
奇瑞iCAR V23行驶跑偏 方向盘向右倾斜	质量问题	7/1/2025
奇瑞iCAR V23塑料机盖变形掉漆 喇叭不响	质量问题	6/27/2025
iCAR奇瑞iCARV23购车支付定金经销商未退还	销售未兑现承诺	7/8/2025
奇瑞iCAR V23经销商不退还订金 要求处理	销售未兑现承诺	5/24/2025
奇瑞iCAR V23 2年返息不给 威胁扣款	销售未兑现承诺	6/24/2025
奇瑞iCAR 03车辆不推送OTA升级 要求推送	质量问题	6/23/2025
奇瑞iCAR V23邀请买车赠送改装基金不兑现	销售未兑现承诺	6/19/2025
奇瑞iCAR V23经销商疑似出售喷过漆的问题车	销售未兑现承诺	6/20/2025
奇瑞iCAR V23充电功率不显示 要求处理	质量问题	6/14/2025
